app_id,name,release_date,is_free,price_overview,type
11260,Pacific Storm Allies,2008-08-18,0,"26,49",game
11270,Gumboy Tournament Demo,2008-11-13,1,\N,demo
11280,Penguins Arena: Sedna's World,2008-12-18,0,"11,99",game
11340,Larva Mortus,2009-03-19,0,"3,39",game
11370,Nikopol: Secrets of the Immortals,2009-07-30,0,"16,99",game
11390,Crash Time 2,2009-08-27,0,"16,99",game
11450,Overlord™,2007-10-26,0,"8,49",game
11470,Overlord™ Demo,2007-10-26,1,\N,demo
11480,Soldiers: Heroes of World War II,2014-07-03,0,"16,99",game
11550,Second Sight,2021-04-08,0,"20,69",game
11560,Maelstrom: The Battle for Earth Begins,2009-02-13,0,\N,game
11590,Hospital Tycoon,2009-02-13,0,\N,game
11910,LUMINES™ Demo,2008-04-18,1,\N,demo
11920,LUMINES™ Advance Pack,2008-04-18,0,\N,game
12130,Manhunt,2008-01-04,0,"14,99",game
12140,Max Payne,2008-01-04,0,\N,game
12150,Max Payne 2: The Fall of Max Payne,2008-01-04,0,"14,99",game
12180,Grand Theft Auto 2,2008-01-04,0,\N,game
12200,Bully: Scholarship Edition,2010-12-23,0,"39,99",game
12210,Grand Theft Auto IV: The Complete Edition,2020-03-24,0,"79,00",game
12220,Grand Theft Auto: Episodes from Liberty City,2010-04-12,0,\N,game
12310,Culpa Innata,2008-01-18,0,"19,99",game
12320,Sacred Gold,2008-07-09,0,"19,99",game
12330,Darkstar One,2008-02-13,0,"2,99",game
12340,Jack Keane,2008-06-27,0,\N,game
12360,FlatOut: Ultimate Carnage Collector's Edition,2008-08-26,0,"59,99",game
12390,Exodus from the Earth ,2008-10-24,0,"24,99",game
12420,Perimeter 2: New Earth,2009-02-10,0,"20,49",game
12430,SlamIt Pinball Big Score,2009-02-23,0,"19,00",game
12440,Ankh 2: Heart of Osiris ,2009-06-16,0,"3,39",game
12450,Ankh 3: Battle of the Gods,2009-06-16,0,"6,59",game
12460,BC Kings,2009-06-16,0,"13,79",game
12470,Port Royale 2,2009-06-16,0,"20,49",game
12480,9th Company: Roots Of Terror,2009-12-03,0,"19,99",game
12500,PuzzleQuest: Challenge of the Warlords,2008-01-29,0,"19,99",game
12510,Prison Tycoon 3™: Lockdown,2008-01-29,0,"16,99",game
12520,18 Wheels of Steel: American Long Haul,2008-01-29,0,"19,99",game
12530,Hunting Unlimited™ 2008,2008-01-29,0,"16,99",game
12540,Mahjongg Investigations: Under Suspicion,2008-07-29,0,"16,99",game
12560,Ride! Carnival Tycoon,2008-07-29,0,"16,99",game
12570,Hot Dish,2008-07-29,0,"16,99",game
12580,Dr. Daisy Pet Vet,2008-07-29,0,"16,99",game
12590,Sprint Cars Road to Knoxville,2008-07-29,0,"16,99",game
12600,Midnight Outlaw: 6 Hours to SunUp,2008-07-29,0,"16,99",game
12640,Drakensang,2009-03-09,0,"16,99",game
12670,Mission Runway,2009-07-17,0,"16,99",game
12690,Hunting Unlimited 2010,2009-07-07,0,"16,99",game
12710,Overlord™: Raising Hell,2008-02-28,0,"16,99",game
12770,Rise of the Argonauts,2009-01-07,0,\N,game
12790,Damnation,2009-05-22,0,\N,game
12810,Overlord II,2009-06-23,0,"16,99",game
12820,Overlord II Demo,2009-06-18,1,\N,demo
12830,Operation Flashpoint: Dragon Rising,2009-10-07,0,\N,game
12890,Operation Flashpoint: Dragon Rising Demo,2009-11-16,1,\N,demo
12900,AudioSurf,2008-02-15,0,"32,99",game
12910,AudioSurf Demo,2008-02-15,1,\N,demo
13000,Ninja Reflex: Steamworks Edition,2008-03-21,0,"8,49",game
13010,Ninja Reflex Demo,2008-03-21,1,\N,demo
13140,America's Army 3,2009-06-17,1,\N,game
13500,Prince of Persia: Warrior Within™,2009-08-27,0,"29,99",game
13520,Far Cry®,2008-04-01,0,"29,99",game
13530,Prince of Persia: The Two Thrones™,2009-08-27,0,"5,99",game
13540,Tom Clancy's Rainbow Six® Vegas,2008-04-09,0,"29,99",game
13560,Tom Clancy's Splinter Cell®,2008-04-01,0,"29,99",game
13570,Tom Clancy's Splinter Cell Chaos Theory®,2009-08-27,0,"29,99",game
13580,Tom Clancy's Splinter Cell Double Agent®,2009-02-13,0,"7,49",game
13600,Prince of Persia®: The Sands of Time,\N,0,"5,99",game
13620,Tom Clancy's Ghost Recon® Desert Siege™,2008-07-15,0,"9,99",game
13630,Tom Clancy's Ghost Recon® Island Thunder™,2008-07-15,0,"9,99",game
15000,Tom Clancy's Rainbow Six Lockdown™,2009-08-27,0,"29,99",game
